Time,Battery,Solar_panel,Indoor_temperature,Pressure,Outdoor_temperature,Outdoor_humidity,Solar_radiation,Wind_direction,Wind_speed,Rainfall_1,Rainfall_2,Counter
2022-08-07,,,,,,,,,,0.0,0.0,
2022-08-08,,,,,,,,,,0.0,0.0,
2022-08-09,,,,,,,,,,0.0,0.0,
2022-08-10,,,,,,,,,,0.0,0.0,
2022-08-11,,,,,,,,,,0.0,0.0,
2022-08-12,,,,,,,,,,0.0,0.0,
2022-08-13,,,,,,,,,,0.0,0.0,
2022-08-14,,,,,,,,,,0.0,0.0,
2022-08-15,,,,,,,,,,0.0,0.0,
2022-08-16,,,,,,,,,,0.0,0.0,
2022-08-17,,,,,,,,,,0.0,0.0,
2022-08-18,,,,,,,,,,0.0,0.0,
2022-08-19,,,,,,,,,,0.0,0.0,
2022-08-20,,,,,,,,,,0.0,0.0,
2022-08-21,,,,,,,,,,0.0,0.0,
2022-08-22,,,,,,,,,,0.0,0.0,
2022-08-23,,,,,,,,,,0.0,0.0,
2022-08-24,,,,,,,,,,0.0,0.0,
2022-08-25,,,,,,,,,,0.0,0.0,
2022-08-26,1.02,2.88,-36.41,794.09,63.58,86.84,189.72,116.0,0.0,0.0,0.0,997.7
2022-08-27,0.0,4.9,22.39,794.01,20.99,58.3,210.79,105.45,0.0,0.0,0.0,4522.39
2022-08-28,0.0,4.82,22.56,794.0,20.8,58.35,214.98,105.64,0.0,0.0,0.0,26118.44
2022-08-29,0.0,4.79,20.33,794.0,18.19,47.88,222.76,103.93,0.0,0.4,0.2,42256.77
2022-08-30,0.0,4.79,18.8,794.0,16.85,54.44,238.99,106.63,0.0,0.0,0.0,9924827.41
2022-08-31,0.0,4.78,18.39,794.0,16.69,58.95,216.3,103.17,0.0,0.0,0.0,1807112.17
2022-09-01,0.0,4.77,20.05,794.0,17.26,67.19,213.86,104.7,0.0,0.0,0.0,1788105.55
2022-09-02,0.0,4.77,23.38,794.0,18.48,74.0,207.34,108.46,0.0,0.0,0.0,1811835.26
2022-09-03,0.0,4.76,22.18,794.0,17.57,57.21,213.83,104.05,0.0,0.0,0.0,1802554.76
2022-09-04,0.0,2.68,20.97,794.0,16.13,53.82,213.9,101.05,0.0,0.0,0.0,1807202.76
2022-09-05,0.0,0.64,20.79,813.11,16.01,61.34,214.25,101.55,0.0,0.0,0.0,1779203.92
